Name,X,Y,Angle,Value,Package
BOOT_BUTTON,24.00,108.40,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,157.90,7.20,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,45.15,108.00,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,95.20,52.85,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,118.99,51.26,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,122.35,37.48,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,133.29,41.18,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,159.00,7.20,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,132.45,51.16,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,129.93,40.34,270.00,100uF,RCL_CT3528
C4,96.61,30.55,270.00,"4.7uF/25V ",ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,155.70,47.50,180.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,67.43,108.00,270.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,155.70,46.00,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,27.71,108.00,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,82.75,23.49,0.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,85.79,48.94,180.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,6.55,99.83,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,49.00,108.40,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,122.98,51.25,270.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,53.66,100.65,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,155.58,50.28,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,44.00,35.83,270.00,PGB1010603MR,DIOC1608X36N
D11,47.00,35.73,270.00,PGB1010603MR,DIOC1608X36N
D12,49.00,35.78,270.00,PGB1010603MR,DIOC1608X36N
D2,121.09,40.79,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,83.71,33.83,180.00,MBR0530,SOD3716X135N
D4,92.87,30.72,180.00,MBR0530,SOD3716X135N
D5,92.99,26.34,0.00,MBR0530,SOD3716X135N
D6,76.28,21.33,0.00,PGB1010603MR,DIOC1608X36N
D7,88.24,65.19,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,11.85,98.67,0.00,PGB1010603MR,DIOC1608X36N
D9,34.64,51.08,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,72.79,18.41,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,83.12,19.15,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,81.66,19.15,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,80.25,19.15,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,74.14,18.41,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,90.15,19.15,90.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,88.75,19.15,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,87.36,19.15,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,85.93,19.15,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,84.54,19.15,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1,50.25,100.38,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,125.28,40.90,0.00,XC6220A331MR-G,SOT95P280X120-5N
J1,86.05,14.35,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,166.73,54.30,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,167.16,19.30,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,8.28,88.84,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,84.05,28.60,270.00,68uH,IND_4828-WE-TPC_WRE
MCP73831,127.38,50.50,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,154.57,42.72,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,134.36,47.46,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,78.98,24.37,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,69.94,16.44,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.19,45.32,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,8.13,99.83,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,123.01,49.61,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,156.80,7.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,92.50,62.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,119.32,40.95,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,70.05,13.30,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,155.68,7.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,92.50,52.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,151.89,50.54,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,158.57,52.98,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,126.03,46.34,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,72.72,12.25,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.27,15.10,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.08,51.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,44.00,32.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,47.00,32.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,49.00,32.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.68,24.65,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.00,108.40,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.54,108.00,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.52,63.45,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,52.69,108.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,75.25,24.65,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.22,108.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.40,11.50,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,70.06,11.55,180.00,,SJ
TP1,11.50,73.50,0.00,TPTP20R,TP20R
TP10,105.15,15.75,0.00,TPTP20R,TP20R
TP11,105.05,10.15,0.00,TPTP20R,TP20R
TP12,21.50,73.50,0.00,TPTP20R,TP20R
TP13,26.50,73.50,0.00,TPTP20R,TP20R
TP14,152.28,37.70,0.00,TPTP20R,TP20R
TP15,100.00,61.50,0.00,TPTP20R,TP20R
TP16,165.35,9.00,0.00,TPTP20R,TP20R
TP17,93.05,20.15,0.00,TPTP20R,TP20R
TP2,16.50,73.50,0.00,TPTP20R,TP20R
TP3,150.00,63.20,0.00,TPTP20R,TP20R
TP4,150.00,59.00,0.00,TPTP20R,TP20R
TP5,67.43,100.06,0.00,TPTP20R,TP20R
TP6,49.00,27.00,0.00,TPTP20R,TP20R
TP7,49.00,22.50,0.00,TPTP20R,TP20R
TP8,39.60,33.15,0.00,TPTP20R,TP20R
TP9,105.15,21.45,0.00,TPTP20R,TP20R
U1,38.10,57.15,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.03,57.15,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.53,56.59,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,139.50,51.50,0.00,MAX17048G+T10,SON50P200X200X80-9N
